codice|prezzo
TS022TX BIBE                  |                  2.24100
TS024PE BL                    |                  1.89000
TS024PE NA                    |                  1.89000
TS024TX BIBE                  |                  3.30980
TS024TX CO                    |                  7.40900
TS024TXRRIAR                  |                  0.00000
TS033PE AR                    |                  2.94000
TS033TX BIBE                  |                  5.51250
TS037TX BIBE                  |                  5.68100
TS037TX NE                    |                  5.68100
TS038TX BI                    |                  7.47500
TS038TX TA                    |                  7.47500
TS041PE AR                    |                  1.96000
TS041TX BIGR                  |                  3.67500
TS054TX NE                    |                  4.29780
TS070TX BIBE                  |                  6.03750
TS070TX NE                    |                  6.03750
TS070XW BIBE                  |                  6.03750
TS070XW TA                    |                  6.03750
TS071TX BIBE                  |                  6.03750
TS071XW                       |                  6.04900
TS074TX BIBE                  |                  4.44600
TS091TX TA                    |                  5.55750
TS118TX BK                    |                  2.59350
TS123PE AR                    |                  1.28800
TS123PE NA                    |                  1.28800
TS123TX BIBE                  |                  2.47000
TS123TX RIAR                  |                  2.47000
TS127PE AR                    |                  2.15600
TS127PE NA                    |                  2.15600
TS127TX BIBE                  |                  4.19900
TS127TX BL                    |                  4.19900
TS127TX BS                    |                  4.19900
TS127TX GR                    |                  4.19900
TS127TX NE                    |                  4.19900
TS128L  NA                    |                  1.14400
TS128PE                       |                  0.40500
TS128PE NA                    |                  0.63000
TS128PE TA                    |                  0.63000
TS128TX BIBE                  |                  2.10000
TS129L  GAVB                  |                  3.11920
TS129TX BI                    |                  3.11920
TS129TX BIBE                  |                  3.02400
TS129TXEBIBL                  |                  3.02400
TS129TXRRIVI                  |                  3.76660
TS130TX BIBE                  |                  4.52010
TS131PE NA                    |                  1.90400
TS131TX BI                    |                  2.27240
TS131TX BIBE                  |                  2.27240
TS131TX TA                    |                  2.41500
TS135L  GAVB                  |                  5.46000
TS135PE AR                    |                  2.94000
TS135PE NA                    |                  2.94000
TS135TX BI                    |                  5.51250
TS135TX BIBE                  |                  5.51250
TS135TX BIGR                  |                  5.51250
TS135TX NE                    |                  5.51250
TS135TX SG                    |                  5.51250
TS145JO                       |                  5.53280
TS145TX BIBE                  |                  5.53280
TS145TX CO                    |                  5.35360
TS145XW                       |                  5.33520
TS145XW BIBE                  |                  5.33520
TS145XW TA                    |                  5.33520
TS150PE NA                    |                  0.96600
TS150TX BL                    |                  1.99880
TS190TX BI                    |                  4.69300
TS190TX BIBE                  |                  4.32000
TS190TX NE                    |                  4.69300
TS205PE NE                    |                  0.72800
TS205TX BIBE                  |                  1.47000
TS205TXINE                    |                  1.32984
TS220   AM                    |                  0.14300
TS220L  VS                    |                  0.14300
TS220TX BI                    |                  1.47000
TS223TX BIBE                  |                  4.44600
TS223TXRRIAR                  |                  4.44600
TS229TX MG                    |                 13.31850
TS230D  S4                    |                  0.11946
TS230L NA                     |                  0.11946
TS230PE BL                    |                  0.92400
TS230TX BIBE                  |                  1.73250
TS230TX NE                    |                  1.73250
TS230TX TA                    |                  1.63020
TS400                         |                  0.35880
TS405TX TA                    |                  0.35880
TS420TX CO                    |                  5.09000
TS421TX BIBE                  |                  1.01270
TS550D  BIBE                  |                  4.89720
TS550L  NA                    |                  7.80000
TS550TX BIBE                  |                  7.41000
TS552D  BIBE                  |                  1.63240
TS552PE AR                    |                  1.48400
TS600PE NA                    |                  1.82000
TS831TX BIBE                  |                  2.86520
TS840TX BIBE                  |                  1.72900
TS900TX BIBE                  |                  4.20000
TS900TX TA                    |                  4.20000
TS920   JK                    |                  0.04180
TS920L  VS                    |                  2.47000
TS920TX BI                    |                  2.47000
TS930L  NA                    |                  0.17967
TS930PE AR                    |                  1.48400
TS930PE NA                    |                  1.48400
TS930TX BIBE                  |                  2.17360
TS930TX NE                    |                  2.17360
TS930TX VN                    |                  0.04180
TS931PE PA                    |                  0.62100
TS931TX NE                    |                  0.17967
TS931TX TA                    |                  3.13690
TSBORMIO                      |                  4.34980
TU021                         |                  0.59760
TU023                         |                  0.56440
TU035                         |                  0.19920
TU036                         |                  0.19920
TU045                         |                  0.23240
TU070                         |                  1.49400
TU123                         |                  0.26240
TU330MM335                    |                  0.08099
TU550                         |                  1.07969
TUB048                        |                  0.51837
TUB135                        |                  0.14306
TUB601                        |                  0.19920
TUBBRAC029                    |                  0.59760
TUBDISG420                    |                  0.92960
TUBGANT048                    |                  0.51837
TUBLAT033                     |                  1.59360
TUBRING420                    |                  0.23000
U600                          |                  0.63080
